X,Y,FID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,DATA_SECURITY,DISTRIBUTION_POLICY,LOADDATE,FTYPE,FCODE,NAME,ISLANDMARK,POINTLOCATIONTYPE,ADMINTYPE,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID
-11686874.2816,4828118.4651,906218,{75D3EEF9-99A3-4F0F-B137-2FE570C2CE7F},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Colorado State Capitol,2,1,3,Not Available,200 East Colfax Avenue,Denver,CO,80203,2112957,Not Available,Not Available,{67FF1114-AD33-44A7-9AE3-72F42695ECD2}
-13681712.3513,5947912.9958,940310,{1260B164-E9C5-489C-991B-BBAC48CC735C},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Washington State Capitol,2,1,3,Not Available,416 Sid Snyder Avenue Southwest,Olympia,WA,98504,1512899,Not Available,Not Available,{7259A5E2-E3AE-4AE5-88B6-F2701F77A974}
-8323353.343,4898015.8505,940312,{B21F9BD1-5966-4E67-A3D1-B549B98F6276},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,New Jersey State House,2,1,3,Not Available,125 West State Street,Trenton,NJ,08608,880858,Not Available,Not Available,{D9B65EB6-1A55-4327-9F6E-5B26194871D7}
-10650826.8772,4728583.74,940313,{EDEEFF87-8FFC-4031-B204-7927427B2C88},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Kansas State Capitol,2,1,3,Not Available,300 Southwest 10th Avenue,Topeka,KS,66612,2625354,Not Available,Not Available,{4F52178C-E544-4737-B34E-4BB582AC98BB}
-9980317.8062,4836688.1411,940314,{906861F8-5118-41B6-A5A9-C27FDD2C6680},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Illinois State Capitol,2,1,3,Not Available,401 South 2nd Street,Springfield,IL,62706,1747303,Not Available,Not Available,{59EBC97D-4745-4D43-AE6E-11ADEAD18E15}
-9394024.8957,3995152.2878,940316,{E05A1DE5-BF6B-46CD-BEDB-DB5D6E4E2E53},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Georgia State Capitol,2,1,3,Not Available,206 Washington Street Southwest,Atlanta,GA,30334,351202,Not Available,Not Available,{90DC68D5-9A3D-4537-9DD3-BDF4445DED11}
-9239383.9742,4860343.483,940317,{25B52A51-C9CE-4A2C-9537-E8A05B239164},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Ohio Statehouse,2,1,3,Not Available,1 Capitol Square,Columbus,OH,43215,1059840,Not Available,Not Available,{A72557BF-C80A-4184-B3CC-77D8AD6111D3}
-11793142.8079,4257004.1765,940318,{F857D3AC-FB47-4FE1-AEFC-205B57786EC6},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,New Mexico State Capitol,2,1,3,Not Available,489 Old Santa Fe Trail,Santa Fe,NM,87501,909060,Not Available,Not Available,{CF4E7FAD-E1F7-4A75-A54C-63C91C553349}
-13695649.2551,5611881.9205,940319,{46A78581-0540-433F-8C28-DF3217E0D5D3},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Oregon State Capitol,2,1,3,Not Available,900 Court Street Northeast,Salem,OR,97301,1163188,Not Available,Not Available,{EBDF8CDE-2D4F-4764-B178-0AF5BD6A948E}
-13524601.1297,4661201.2765,940320,{8DA8A235-E9A5-4FAE-8964-D41C87AC8CF9},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,California State Capitol,2,1,3,Not Available,1315 10th Street,Sacramento,CA,95814,220403,Not Available,Not Available,{A372BBFB-A734-453C-9D82-5B2A66DE1FD1}
-8619868.5145,4514472.1356,940481,{9E5702D6-0BB9-486A-8121-C75921514878},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Virginia State Capitol,2,1,3,Not Available,1000 Bank Street,Richmond,VA,23219,1479670,Not Available,Not Available,{99A5A453-3D6D-43F3-AC2E-00EC8934DE24}
-7949865.2881,5135670.9578,940482,{CDE20F2C-3CED-478F-911D-2290BEB95AD2},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Rhode Island State House,2,1,3,Not Available,82 Smith Street,Providence,RI,02903,1904080,Not Available,Not Available,{326DDD5D-1247-4903-97DF-99A8F5D5E8A2}
-11170491.0698,5522430.0834,940483,{1A231EA0-7D33-4526-8F09-C2FF466752C8},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,South Dakota State Capitol,2,1,3,Not Available,500 East Capitol Avenue,Pierre,SD,57501,2727321,Not Available,Not Available,{C405D806-1F7C-4FCA-8E05-58DE0796F6C7}
-12478588.1954,3954953.8792,940484,{BE1AF9D6-9D95-42E7-8A67-57016AA4455D},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Arizona State Capitol,2,1,3,Not Available,1700 West Washington Street,Phoenix,AZ,85007,14192,Not Available,Not Available,{2EE791A8-06E2-4826-A825-4B31541DB3FF}
-10854026.622,4230984.0267,940486,{212908FF-8B59-44E4-9541-49DAA63AC5C9},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Oklahoma State Capitol,2,1,3,Not Available,2300 North Lincoln Boulevard,Oklahoma City,OK,73105,1096213,Not Available,Not Available,{A15F9A02-9ED7-48ED-BF0B-4E4B09B6878B}
-9660769.6729,4323472.5832,940487,{6245F7D2-B1F3-4008-A3F6-5CA5A93FBBF8},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Tennessee State Capitol,2,1,3,Not Available,600 Charlotte Avenue,Nashville,TN,37219,1324788,Not Available,Not Available,{5579CA2F-EC9A-4728-AB2C-33566773B092}
-8079621.2418,5506147.5003,940488,{9D796740-2982-432D-BB3C-13C9D786D627},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Vermont State House,2,1,3,Not Available,115 State Street,Montpelier,VT,05633,1460024,Not Available,Not Available,{F0EC1220-0730-4650-94BE-2FC054B824F2}
-9606934.8302,3812996.3049,940489,{DD24E4BF-0B87-40AC-97F2-766455D21504},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Alabama State Capitol,2,1,3,Not Available,600 Dexter Avenue,Montgomery,AL,36130,112962,Not Available,Not Available,{56D8374E-8528-4221-AB9A-65AA9083F6A0}
-9950201.2754,5323342.1151,940491,{0F567692-0ABC-46D9-9DAB-74D65C538C96},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Wisconsin State Capitol,2,1,3,Not Available,2 East Main Street,Madison,WI,53703,1576911,Not Available,Not Available,{9EF85734-1874-4CC3-AFC2-B1D3838EF9F5}
-10273589.9153,4129517.8383,940492,{E4B8529E-BC01-499A-A8B0-EB6E5BF41D3A},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Arkansas State Capitol,2,1,3,Not Available,500 Woodlane Street,Little Rock,AR,72201,68083,Not Available,Not Available,{37928438-F8E7-404D-8656-C6A06CF2C4E8}
-10764566.5597,4984072.2551,940493,{351008BE-3DCD-4C68-AF61-74F523C5A0CD},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Nebraska State Capitol,2,1,3,Not Available,1445 K Street,Lincoln,NE,68508,837249,Not Available,Not Available,{C192D2EB-F79F-4321-B6D6-583E8C527B42}
-9412681.94,5271513.4775,940494,{46BC61EB-024D-43B3-AE91-5D2FC19E1A0B},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Michigan State Capitol,2,1,3,Not Available,Capitol Avenue and Michigan Avenue,Lansing,MI,48909,2635304,Not Available,Not Available,{D9C5AFDE-8D4C-4E53-A5F0-63AD3C2DA0EA}
-10039018.566,3803250.6239,940495,{351E62FD-5024-4FF5-B12E-080CC1CA0D0D},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Mississippi State Capitol,2,1,3,Not Available,400 High Street,Jackson,MS,39201,688466,Not Available,Not Available,{84D0B776-1626-453F-8902-D049D274CC8B}
-9591595.6511,4832341.3458,940496,{35EB467D-E722-4657-BF71-E94E14BB5734},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Indiana State House,2,1,3,Not Available,200 West Washington Street,Indianapolis,IN,46204,444085,Not Available,Not Available,{211811C3-3984-4BEF-81AE-CA74D3ACE523}
-12469824.8733,5874722.0426,940497,{58713181-454D-46C8-9F93-1C6324C9DF10},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Montana State Capitol,2,1,3,Not Available,1301 East 6th Avenue,Helena,MT,59601,794712,Not Available,Not Available,{F9FF7A88-A93C-4924-B987-6C949F51F3E1}
-8090958.4497,5125734.1552,940498,{D807FDD9-B16D-4347-B139-3AFCE43AD5A9},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Connecticut State Capitol,2,1,3,Not Available,210 Capitol Avenue,Hartford,CT,06106,1943494,Not Available,Not Available,{DC975B97-6183-433C-B8CC-1F0842C44711}
